"Place","State","Country","EstimateLow","EstimateHigh","Estimate3","DiffDate","Source1","Source2","Source3","Location","FullLocation","Source3Link","Source2Link","Source1Link"
"Lewes","Delaware","United States","250","250","","","Source 1",NA,NA,"Lewes, Delaware","Lewes, Delaware, United States",NA,NA,"http://www.capegazette.com/article/peaceful-march-along-lewes-beach-takes-stand-women%E2%80%99s-rights/124227"
"Lewis","New York","United States","147","325","","","Source 1","Source 2 :  eyewitness onsite via google form",NA,"Lewis, New York","Lewis, New York, United States",NA,NA,"https://www.facebook.com/events/244926602586263/"
"Lewisburg","Pennsylvania","United States","150","200","","","Source 1 :  FB (people on site)",NA,NA,"Lewisburg, Pennsylvania","Lewisburg, Pennsylvania, United States",NA,NA,NA
"Lihue (Kauai) HI","Hawaii","United States","1,500","1,500","","","Source 1",NA,NA,"Lihue (Kauai) HI, Hawaii","Lihue (Kauai) HI, Hawaii, United States",NA,NA,"http://thegardenisland.com/news/local/attend-sign-waving-event-support-women-s-march-on-washington/article_d7188a0b-7d09-5afe-9c33-0f2e80244eda.html"
"Lilly","Pennsylvania","United States","4","4","","","Source 1 :  FB",NA,NA,"Lilly, Pennsylvania","Lilly, Pennsylvania, United States",NA,NA,NA
"Lincoln","Nebraska","United States","2,000","4,000","","","Source 1","Source 2",NA,"Lincoln, Nebraska","Lincoln, Nebraska, United States",NA,"http://journalstar.com/news/local/thousands-show-up-to-support-women-s-march-on-lincoln/article_2e87f297-d977-504f-b240-0f9946a37c68.html","http://www.omaha.com/news/politics/at-least-people-fill-the-streets-in-women-s-march/article_5de6469e-58ff-5e39-b4de-290a99e01a26.html"
"Little Rock","Arkansas","United States","7,000","7,000","","","Source 1",NA,NA,"Little Rock, Arkansas","Little Rock, Arkansas, United States",NA,NA,"http://www.arkansasonline.com/news/2017/jan/21/hundreds-march-street-state-capitol-downtown-littl/?news-arkansas"
"Logan","Utah","United States","50","100","","","Source 1","Source 2 :  Eyewitness report",NA,"Logan, Utah","Logan, Utah, United States",NA,NA,"http://news.hjnews.com/allaccess/a-human-statement-valley-women-join-d-c-march-small/article_76777608-33e0-5853-8fe7-a97309cfe441.html"
"Lompoc","California","United States","100","100","","","Source 1","Source 2",NA,"Lompoc, California","Lompoc, California, United States",NA,"http://lompocrecord.com/news/local/the-people-united-large-crowds-rally-against-hate-in-women/article_d5a60522-0df4-5ccb-996d-06b94a927a1b.h","http://www.ksby.com/story/34315680/womens-march-on-lompoc"
"Longview","Washington","United States","200","200","","","Source 1",NA,NA,"Longview, Washington","Longview, Washington, United States",NA,NA,"http://tdn.com/news/local/longview-women-s-march-draws-around-people/article_824ee3c7-2905-5688-a146-148ce860874e.html"
"Longville","Minnesota","United States","67","67","","","Source 1","Source 2","Source 3","Longville, Minnesota","Longville, Minnesota, United States","https://www.mprnews.org/story/2017/01/21/photos-around-minnesota-women-and-men-march-for-womens-rights","https://www.facebook.com/events/337150970017113/permalink/342627902802753/","https://twitter.com/curatress/status/822996713979912192"
"Los Angeles","California","United States","200,000","750,000","","","Source 1","Source 2",NA,"Los Angeles, California","Los Angeles, California, United States",NA,"http://www.nbclosangeles.com/news/local/Thousands-Womens-March-Los-Angeles-411409495.html","http://www.latimes.com/local/lanow/la-me-womens-march-los-angeles-20170121-story.html"
"Louisville","Kentucky","United States","5,000","5,000","","","Source 1",NA,NA,"Louisville, Kentucky","Louisville, Kentucky, United States",NA,NA,"http://www.courier-journal.com/story/news/politics/2017/01/21/local-activists-call-social-justice/96676446/"
"Loup City","Nebraska","United States","100","150","","","Source 1","Source 2 :  on site source via FB",NA,"Loup City, Nebraska","Loup City, Nebraska, United States",NA,NA,"http://www.nbcneb.com/content/news/March-for-equality-takes-place-in-central-Nebraska-411432745.html"
"Lovell","Maine","United States","2","2","","","Source 1 :  Eyewitness on site",NA,NA,"Lovell, Maine","Lovell, Maine, United States",NA,NA,NA
"Lovettsville","Virginia","United States","5","5","","","Source 1 :  eyewitness; photo",NA,NA,"Lovettsville, Virginia","Lovettsville, Virginia, United States",NA,NA,NA
"Lubbock","Texas","United States","350","1,000","","","Source 1","Source 2 :  Eyewitness on site",NA,"Lubbock, Texas","Lubbock, Texas, United States",NA,NA,"http://lubbockonline.com/local/2017-01-21/hundreds-protest-lubbock-women-s-march"
"Lubec","Maine","United States","95","95","","","Source 1 :  FB",NA,NA,"Lubec, Maine","Lubec, Maine, United States",NA,NA,NA
"Lyons","Colorado","United States","25","30","","","Source 1 :  Eyewitness on site",NA,NA,"Lyons, Colorado","Lyons, Colorado, United States",NA,NA,NA
"Mt. Shasta","California","United States","400","400","","","Source 1",NA,NA,"Mt. Shasta, California","Mt. Shasta, California, United States",NA,NA,"http://www.mtshastanews.com/photogallery/CA/20170121/PHOTOGALLERY/121009998/PH/1"
"Mt. Laurel","New Jersey","United States","20","20","","","Source 1",NA,NA,"Mt. Laurel, New Jersey","Mt. Laurel, New Jersey, United States",NA,NA,"https://twitter.com/KaraLogan21/status/823293332520632320"
"Madison","Wisconsin","United States","75,000","100,000","","","Source 1",NA,NA,"Madison, Wisconsin","Madison, Wisconsin, United States",NA,NA,"http://www.channel3000.com/news/mpd/284567959"
"Manchester","Vermont","United States","50","50","","1","Source 1",NA,NA,"Manchester, Vermont","Manchester, Vermont, United States",NA,NA,"http://www.benningtonbanner.com/stories/rally-embraces-tolerance-as-trump-takes-office,495830?"
"Mankato","Minnesota","United States","50","140","","","Source 1","Source 2 :  Onsite eyewitness who did a headcount w photo ",NA,"Mankato, Minnesota","Mankato, Minnesota, United States",NA,NA,"http://www.mprnews.org/story/2017/01/21/photos-around-minnesota-women-and-men-march-for-womens-rights"
"Marfa","Texas","United States","76","76","","","Source 1 :  Twitter",NA,NA,"Marfa, Texas","Marfa, Texas, United States",NA,NA,NA
"Marina","California","United States","","","","","Source 1 :  See Seaside, CA",NA,NA,"Marina, California","Marina, California, United States",NA,NA,NA
"Martha's Vineyard","Massachusetts","United States","100","100","","","Source 1",NA,NA,"Martha's Vineyard, Massachusetts","Martha's Vineyard, Massachusetts, United States",NA,NA,"http://www.mvtimes.com/2017/01/21/photos-womens-march-five-corners/"
"Marquette","Michigan","United States","200","800","","","Source 1","Source 2",NA,"Marquette, Michigan","Marquette, Michigan, United States",NA,"http://www.uppermichiganssource.com/content/news/Marquette-Womens-March-draws-hundreds-of-supporters-411440915.html","http://www.miningjournal.net/uncategorized/2017/01/hundreds-rally-for-womens-march-in-marquette/"
"Marshall","Minnesota","United States","2","2","","","Source 1 :  Eyewitness on site",NA,NA,"Marshall, Minnesota","Marshall, Minnesota, United States",NA,NA,NA
"Maryville","Illinois","United States","40","50","","","Source 1",NA,NA,"Maryville, Illinois","Maryville, Illinois, United States",NA,NA,"https://twitter.com/Pretty_pittie/status/823328254014668800"
"Mayaguez","PR","United States","","","","",NA,NA,NA,"Mayaguez, PR","Mayaguez, PR, United States",NA,NA,NA
"McCall","Idaho","United States","75","150","","","Source 1 :  FB",NA,NA,"McCall, Idaho","McCall, Idaho, United States",NA,NA,NA
"McMinnville","Oregon","United States","700","1,400","","","Source 1 :  FB","Source 2 :  Eyewitness on site","Source 3","McMinnville, Oregon","McMinnville, Oregon, United States","https://www.facebook.com/events/232307553886613/233443847106317/?notif_t=like&notif_id=1484980361131828",NA,NA
"Melbourne/Brevard County","Florida","United States","500","500","","","Source 1 :  FB","Source 2",NA,"Melbourne/Brevard County, Florida","Melbourne/Brevard County, Florida, United States",NA,"http://www.floridatoday.com/story/news/2017/01/21/locals-rally-dc-brevard-womens-march-events/96900018/",NA
"Memphis","Tennessee","United States","3,000","9,000","","","Source 1","Source 2",NA,"Memphis, Tennessee","Memphis, Tennessee, United States",NA,"http://wreg.com/2017/01/21/thousands-protest-downtown-for-memphis-womens-march/","https://t.co/unaoHXpGUT"
"Menomonie","Wisconsin","United States","200","450","","","Source 1","Source 2 :  Eyewitness head count","Source 3","Menomonie, Wisconsin","Menomonie, Wisconsin, United States","http://www.weau.com/content/news/Hundreds-march-in-Eau-Claire-to-support-Womens-March-411425375.html",NA,"https://twitter.com/trayf/status/823044387668193280"
"Mentone","Alabama","United States","50","50","","","Source 1 :  FB",NA,NA,"Mentone, Alabama","Mentone, Alabama, United States",NA,NA,NA
"Merrill","Michigan","United States","","","","",NA,NA,NA,"Merrill, Michigan","Merrill, Michigan, United States",NA,NA,NA
"Miami","Florida","United States","10,000","25,000","","","Source 1","Source 2 :  organizers via google form; site closed at capacity at 10k; estimated 15k were turned away and marched outside as a result",NA,"Miami, Florida","Miami, Florida, United States",NA,NA,"http://www.miamiherald.com/news/local/community/miami-dade/article127925999.html"
"Miami Beach","Florida","United States","","","","","Source 1 :  see Miami, FL",NA,NA,"Miami Beach, Florida","Miami Beach, Florida, United States",NA,NA,NA
"Midland","Michigan","United States","400","400","","","Source 1",NA,NA,"Midland, Michigan","Midland, Michigan, United States",NA,NA,"http://www.mlive.com/news/saginaw/index.ssf/2017/01/midland_march.html"
"Midland","Texas","United States","50","100","","","Source 1 :  cbs 7 midland","Source 2",NA,"Midland, Texas","Midland, Texas, United States",NA,"http://www.yourbasin.com/news/midland-womens-march-we-need-to-show-there-is-diversity-in-this-area/643899237",NA
"Midway Atoll","--","United States","6","6","","","Source 1 :  Eyewitness on site",NA,NA,"Midway Atoll, --","Midway Atoll, --, United States",NA,NA,NA
"Miles City","Montana","United States","500","500","","","Source 1 :  Eyewitness estimate",NA,NA,"Miles City, Montana","Miles City, Montana, United States",NA,NA,NA
"Milford","Connecticut","United States","120","120","","1","Source 1",NA,NA,"Milford, Connecticut","Milford, Connecticut, United States",NA,NA,"http://www.nhregister.com/20170120/milford-protest-as-trump-inaugurated-draws-attention-to-environment-education-and-more"
"Milhelm","Pennsylvania","United States","50","50","","","Source 1 :  FB",NA,NA,"Milhelm, Pennsylvania","Milhelm, Pennsylvania, United States",NA,NA,NA
"Milwaukee","Wisconsin","United States","1,000","1,000","","","Source 1",NA,NA,"Milwaukee, Wisconsin","Milwaukee, Wisconsin, United States",NA,NA,"http://www.cbs58.com/story/34314179/hundreds-hit-the-streets-of-milwaukee-for-womens-march-on-washington"
"Minneapolis","Minnesota","United States","","","","","Source 1 :  See St Paul, MN (also see 1/20)",NA,NA,"Minneapolis, Minnesota","Minneapolis, Minnesota, United States",NA,NA,NA
"Minocqua","Wisconsin","United States","300","300","","","Source 1 :  FB",NA,NA,"Minocqua, Wisconsin","Minocqua, Wisconsin, United States",NA,NA,NA
"Minturn","Colorado","United States","6","6","","","Source 1 :  FB",NA,NA,"Minturn, Colorado","Minturn, Colorado, United States",NA,NA,NA
"Missoula","Montana","United States","80","120","","","Source 1","Source 2 :  eyewitness onsite via google form",NA,"Missoula, Montana","Missoula, Montana, United States",NA,NA,"http://www.kpax.com/story/34315123/womens-march-takes-to-montanas-capitol-with-huge-crowd"
"Mitchell","Indiana","United States","18","20","","","Source 1 :  FB",NA,NA,"Mitchell, Indiana","Mitchell, Indiana, United States",NA,NA,NA
"Moab","Utah","United States","200","200","","","Source 1",NA,NA,"Moab, Utah","Moab, Utah, United States",NA,NA,"https://twitter.com/mmrj_tweet/status/822963369577615360"
"Mobile","Alabama","United States","900","1,000","","","Source 1 :  FB (report from on site)","Source 2",NA,"Mobile, Alabama","Mobile, Alabama, United States",NA,"http://wkrg.com/2017/01/21/womens-march-mobile-draws-hundreds-of-men-and-women/",NA
"Modesto","California","United States","900","1,000","","","Source 1","Source 2",NA,"Modesto, California","Modesto, California, United States",NA,"http://www.modbee.com/news/article128034159.html","http://www.modbee.com/news/article128034159.html"
"Mooresville","North Carolina","United States","70","70","","","Source 1",NA,NA,"Mooresville, North Carolina","Mooresville, North Carolina, United States",NA,NA,"http://www.mooresvilletribune.com/news/marching-to-make-a-point/article_f3388eee-e02e-11e6-a716-fb8d63c948f4.html"
"Monhegan Island","Maine","United States","22","22","","","Source 1 :  email",NA,NA,"Monhegan Island, Maine","Monhegan Island, Maine, United States",NA,NA,NA
"Monterey Bay","California","United States","","","","","Source 1 :  See Seaside, CA",NA,NA,"Monterey Bay, California","Monterey Bay, California, United States",NA,NA,NA
"Montpelier","Vermont","United States","15,000","20,000","","","Source 1","Source 2",NA,"Montpelier, Vermont","Montpelier, Vermont, United States",NA,"http://www.burlingtonfreepress.com/story/news/2017/01/21/montpelier-womens-march-draws-7000/96888920/","http://www.burlingtonfreepress.com/story/news/2017/01/21/montpelier-womens-march-draws-7000/96888920/"
"Mora","New Mexico","United States","1","1","","","Source 1 :  FB",NA,NA,"Mora, New Mexico","Mora, New Mexico, United States",NA,NA,NA
"Morganton","North Carolina","United States","500","600","","","Source 1","Source 2 :  Eyewitness onsite",NA,"Morganton, North Carolina","Morganton, North Carolina, United States",NA,NA,"http://www.morganton.com/townnews/politics/a-call-for-equality-demonstrators-converge-on-downtown-in-support/article_250317d0-e018-11e6-97d8-5fd6a7377b4b.html#utm_source=morganton.com&utm_campaign=%2Fnewsletter%2Fbreaking%2F&utm_medium=email&utm_content=image"
"Morris","Minnesota","United States","250","250","","","Source 1 :  Morris Tribune",NA,NA,"Morris, Minnesota","Morris, Minnesota, United States",NA,NA,NA
"Moscow","Idaho","United States","2,500","2,500","","","Source 1","Source 2",NA,"Moscow, Idaho","Moscow, Idaho, United States",NA,"https://www.facebook.com/events/667336173434890/","http://dnews.com/local/women-on-the-march/article_61739ce0-0c64-57cc-baa7-4e0492c47b98.html"
"Mount Vernon","Ohio","United States","20","30","","","Source 1 :  via email ","Source 2 :  via email ",NA,"Mount Vernon, Ohio","Mount Vernon, Ohio, United States",NA,NA,NA
"Mount Vernon","Washington","United States","200","1,800","","","Source 1","Source 2 :  Eyewitnesses onsite and drone footage",NA,"Mount Vernon, Washington","Mount Vernon, Washington, United States",NA,NA,"https://www.goskagit.com/news/young-and-old-take-on-downtown-mount-vernon-for-women/article_d216fe5e-24a5-5606-9e21-706c1db3ff2f.html/#utm_source=goskagit.com&utm_campaign=related-by-section&utm_medium=direct&utm_term=young%20and%20old%20take%20on%20downtown%20mount%20vernon%20for%20women%27s%20march"
